name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result40,2024-11-06 16:53:16,24.34031081199646,3914,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [3, 4, 5], 2: [1, 6, 7, 8], 3: [7, 9, 10, 11]}","[{0: [5050, 4950, 4949, 5049]}, {1: [5049, 5048, 5148], 2: [4950, 4850, 4849, 4949]}, {3: [4849, 4749, 4649, 4549]}]",10,11,22,0,0,1,8,12,22,0,0
result41,2024-11-06 16:53:42,26.205222845077515,9600,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [4, 7], 3: [0, 4]}","[{1: [5050, 5150, 4950], 0: [5049, 5048, 5148, 4948]}, {2: [5050, 4950]}, {3: [5049, 5050]}]",10,7,15,0,4,1,7,8,15,0,4
result42,2024-11-06 16:54:14,34.73947525024414,6946,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 6, 7, 8], 3: [2, 9]}","[{1: [4849, 4949, 4948, 5048], 0: [5051, 5050, 5049]}, {2: [5049, 5048, 4849, 4949]}, {3: [5049, 4949]}]",10,7,19,0,0,1,8,10,19,0,0
result43,2024-11-06 16:54:54,28.59925436973572,2993,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [1, 3, 7, 9]}","[{1: [5049, 5048, 4948], 2: [5050, 4950, 4850], 0: [4848, 4849, 4949]}, {3: [4849, 4949, 4950, 4850]}]",9,9,20,1,8,1,7,10,20,0,8
result44,2024-11-06 16:55:27,38.16162323951721,1382,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [6, 8, 9, 10], 3: [0, 7, 11]}","[{1: [5150, 5149, 5049, 5050], 0: [4950, 4951, 4851, 4850]}, {3: [4951, 5050, 4950], 2: [5049, 5150, 5149, 5151]}]",6,9,20,1,8,1,6,12,20,0,8
result45,2024-11-06 16:56:08,18.681680917739868,3003,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [4, 6, 7, 8], 3: [2, 5]}","[{0: [4850, 4851, 4951, 4950], 1: [5151, 5051]}, {3: [4951, 5051], 2: [5151, 5152, 5252, 5352]}]",6,9,14,0,2,1,5,9,14,0,2
result46,2024-11-06 16:56:29,16.339380502700806,2811,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [0, 3], 3: [3, 4, 5, 6]}","[{0: [4949, 4950]}, {1: [4950, 5050], 2: [4949, 4948]}, {3: [4948, 4947, 4748, 4848]}]",10,7,18,0,3,1,8,7,18,0,3
result47,2024-11-06 16:56:47,18.62276577949524,4065,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [6, 7, 8], 3: [1, 4, 8]}","[{1: [4951, 5051], 2: [4848, 4849, 4850], 0: [5048, 4950, 5050, 5049]}, {3: [4950, 4951, 4850]}]",7,9,17,0,1,1,6,9,17,0,1
result48,2024-11-06 16:57:08,20.31942105293274,8231,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [3, 6, 8, 9], 3: [9, 10, 11, 12]}","[{0: [4948, 5048, 5049, 5149], 1: [5051, 5050, 5150, 5151]}, {2: [5149, 5150, 5050, 4950]}, {3: [4950, 4949, 4750, 4850]}]",9,12,24,0,0,1,7,13,24,0,0
result49,2024-11-06 16:57:31,16.686646938323975,6779,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [0, 4], 3: [2, 5, 6]}","[{0: [4949, 4950]}, {2: [4949, 4948], 1: [4950, 4851, 4951]}, {3: [4851, 4751, 4651]}]",7,7,16,0,5,1,6,7,16,0,5
